subject_id,SC_mean_T1,SC_start_T2,SC_transfer,OC_mean_T1,OC_start_T2,OC_transfer,prevChoice_mean_T1,prevChoice_start_T2,prevChoice_transfer
542bdb6dfdf99b324ea37c3a,-9.537433597631365,-9.545450749559432,-0.008017151928067179,12.027832080817621,11.383717716354491,-0.64411436446313,-1.1951892239178126,-1.195840616529243,-0.0006513926114304347
56eeb66a524cc0000a5fa4a2,6.118347227353951,3.9359616025857918,-2.182385624768159,-0.02188639348285515,2.431331202343158,2.453217595826013,-0.6952128009030478,6.789224764187987,7.484437565091034
5827634ea80bf4000199994b,0.2980920351010383,4.097278970174443,3.799186935073405,-0.9153986484268449,-0.9016426035592133,0.0137560448676316,-0.017716327869252976,0.6953094328482301,0.713025760717483
598f22af33481c000164d359,0.04689745827567853,-0.6673689966110582,-0.7142664548867367,-0.08213720919456222,-0.08177567351365621,0.0003615356809060083,0.10536175813190066,1.9808898299438749,1.8755280718119742
5996d2256b939900012d9f22,-0.09787517004498489,-0.07610857512149316,0.021766594923491728,0.5289470597472155,0.5094181298605976,-0.019528929886617807,-0.18425679487636698,-0.18779251274193368,-0.0035357178655666954
5a6725d4c0d836000107f6e7,0.7413520213896678,0.7422976840330981,0.0009456626434303228,4.128187687058623,7.863222585093716,3.735034898035093,-0.578201633188829,1.7509217733701568,2.3291234065589856
5abbe13268b65b00018cf94b,-0.026364198471815804,-0.025582119839017186,0.0007820786327986176,3.127939360357016,-0.1588616794288136,-3.2868010397858294,-1.1154900270947006,-1.112594463225624,0.002895563869076634
5ad0422dfb109b0001a30f35,0.5731092901452197,0.5736664301934391,0.0005571400482193845,6.700996561832957,3.02916404156825,-3.671832520264707,0.6073503198624419,0.606108098184263,-0.0012422216781788897
5b9d57e5737d030001ad2cbf,-0.566326159294473,-0.2247963859799174,0.34152977331455564,1.5899233680598186,0.7267392289716749,-0.8631841390881437,-0.800131838910269,-0.7979985088318674,0.002133330078401552
5baa3265c0a8c000014bea73,-4.651705353627261,-4.165854363153734,0.4858509904735264,0.1710050467520788,0.03988321324610798,-0.13112183350597084,0.262799570727671,-0.17805293279735604,-0.44085250352502703
5e809dc29984aa77c1a4decd,-0.0003295539006542558,1.5923561584708783,1.5926857123715326,0.28725243783731613,0.14008873063927346,-0.14716370719804267,0.8773852866229124,0.8774240752749973,3.878865208495341e-05
5ef3efcb420ab11a45a0b8a6,-1.431672790225335,-1.361917885861066,0.0697549043642689,-0.5872029925810172,-0.5888635836255777,-0.001660591044560511,-0.08719010252737833,-0.3481141447219522,-0.2609240421945739
5ef7783026861249d8eb58ef,3.594867672939041,3.1470215537983206,-0.4478461191407206,-0.2582164893699249,-0.2558182369510935,0.0023982524188314036,-0.31216290893874826,-0.31030437013478884,0.0018585388039594197
5f4a8c8347b9fe5082353a3c,-5.579386416541058,-3.210739434805904,2.368646981735154,6.76951938552524,5.242345951898737,-1.527173433626503,-1.4234716987130327,-2.4548413495772023,-1.0313696508641697
5f78863ec51814422de56470,-0.0896530975895461,-0.0892375935926134,0.0004155039969326868,0.0680740679617793,-2.696840969703082,-2.7649150376648617,-0.36119792300855985,-0.44714809091952334,-0.0859501679109635
5f7aaea6bf94dd717b471063,1.863925614110998,1.6645797240224618,-0.19934589008853631,0.2015884884321454,1.0644531144677145,0.8628646260355691,-0.8325989126394164,-0.8334790069597476,-0.0008800943203312039
5f8aa207fb62d0000838847c,-2.367274874350093,-2.3673271520422356,-5.2277692142777e-05,0.4410441496088919,1.2268986126712127,0.7858544630623208,0.20757131747919982,0.13305942941228416,-0.07451188806691567
5f8ece6117db5206eafc8b73,-13.532470130404338,-13.54055116654456,-0.008081036140222153,1.3034969564726127,6.004779857866354,4.701282901393741,1.2078516371345456,1.2059460232898918,-0.0019056138446538196
60b610d8c3c4f177c8337729,2.8547235019128894,0.9129972126558009,-1.9417262892570886,-0.9351897891821697,-0.9352379138886489,-4.8124706479191204e-05,-1.1200123769861272,-1.1197987663857423,0.00021361060038493918
61673b692a55fba0f6b8abf1,-0.8415130874048955,-0.8394961152361218,0.002016972168773723,-0.1819081079387171,-0.18124765522432965,0.0006604527143874439,-0.24876631994680826,-0.24894263626227758,-0.00017631631546932702
62b2080f8f89f2f15c47d9ba,0.10868349737096543,0.1087708802814171,8.738291045166935e-05,-0.7386063961364819,0.33360878665451493,1.072215182790997,-1.4373652446732585,-1.4389098229505972,-0.0015445782773386707
6315fdca8c4637cea9f114cf,0.5818842858328279,0.2205221657715159,-0.361362120061312,-0.6352112217414494,1.0410113998877815,1.6762226216292309,-0.7050679441725375,-0.7052152042296067,-0.00014726005706922063
63174af7d57182f9bf90c094,-0.7137674636663238,-0.037789168383501756,0.675978295282822,-2.6211436953991796,0.7981390524474807,3.41928274784666,0.25239057774589274,-0.1888578948820609,-0.44124847262795364
63d79fcd741f9cfb2f87152f,-1.3944923673512293,1.2062218899801662,2.6007142573313953,0.016772515472238077,-0.5878994246611707,-0.6046719401334089,-1.0787876330178985,-1.311258775750339,-0.2324711427324404
63f93b47bb0c1a1aca131480,2.134660537206095,-0.3141041606204007,-2.448764697826496,1.514849680963614,1.5166327594476505,0.001783078484036471,0.507671683636916,-0.25327034785591673,-0.7609420314928327
